"trackid","DisasterID","DisasterName","Status","lastname","firstname","Address","City","State","ZIP","dob","age","sex","persondescription","imgptr","agency","agentID","agentname","agentcontactinfo","agentnote","searchername","searchernote","searchercontactinfo"
4030,"201104ALabama","Alabama Tornado of April 2011","Registered","Rasberry","Linkon","290 County Road 591","TRINITY","AL","35673",9/28/1979 0:00:00,33,"M",,"3m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Linkon Rasberry was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4031,"201104ALabama","Alabama Tornado of April 2011","Registered","Williams","Kade ","29233 Leggtown Rd","Elkmont","AL","35620",2/26/1982 0:00:00,30,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Kade  Williams came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4032,"201104ALabama","Alabama Tornado of April 2011","Registered","Alanis","Noah","1512 Olive St","Decatur","AL","35601",8/4/1978 0:00:00,34,"M",,"4m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Noah Alanis was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4033,"201104ALabama","Alabama Tornado of April 2011","Registered","Alanis","Michaela","3102 Sandlin Road SW","Decatur","AL","35603",6/18/1982 0:00:00,30,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Michaela Alanis came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4034,"201104ALabama","Alabama Tornado of April 2011","Registered","Alanis","Savannah","1918 Harrison St SE","Decatur","AL","35601",8/5/1975 0:00:00,37,"F",,"7f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Savannah Alanis came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4035,"201104ALabama","Alabama Tornado of April 2011","Registered","Fulghum","Julian","110 Co Rd 497","Trinity","AL","35673",6/30/1981 0:00:00,31,"M",,"1m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Julian Fulghum was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4036,"201104ALabama","Alabama Tornado of April 2011","Registered","Alarcon","Nia","2101 Hwy 20 Lot 6","Decatur","AL","35601",8/21/1971 0:00:00,41,"F",,"1f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Nia Alarcon came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4037,"201104ALabama","Alabama Tornado of April 2011","Registered","Ruiz","Kavin","255 Rocky Ford Rd","Hartselle","AL","35640",4/3/1978 0:00:00,34,"F",,"4f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Kavin Ruiz came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4038,"201104ALabama","Alabama Tornado of April 2011","Registered","Solery","Carmen","1311 Nance Ford Road SW","Hartselle","AL","35640",9/25/1970 0:00:00,42,"F",,"2f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Carmen Solery came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4039,"201104ALabama","Alabama Tornado of April 2011","Registered","Zaragosa","Scarlett","1212 Goldridge Dr SW #4","Decatur","AL","35603",12/8/1981 0:00:00,31,"F",,"1f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Scarlett Zaragosa came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4040,"201104ALabama","Alabama Tornado of April 2011","Registered","Casper","April","780 Ironman Rd","Hartselle","AL","35640",6/16/1990 0:00:00,22,"M",,"2m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","April Casper was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4041,"201104ALabama","Alabama Tornado of April 2011","Registered","Tantalo","Makenzie","2112 Dundee Dr SW","Decatur","AL","35603",10/27/1965 0:00:00,47,"F",,"7f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Makenzie Tantalo came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4042,"201104ALabama","Alabama Tornado of April 2011","Registered","Shadden","Gabrielle","333 Highland Dr.","Moulton","AL","35650",8/29/1982 0:00:00,30,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Gabrielle Shadden came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4043,"201104ALabama","Alabama Tornado of April 2011","Registered","Sotelo","Ahlyssa","68 First Road","Hartselle","AL","35640",4/3/1972 0:00:00,40,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Ahlyssa Sotelo came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4044,"201104ALabama","Alabama Tornado of April 2011","Missing","Dutton","Kalyn","2311 Co Rd 265","Town Creek","AL","35672",2/19/1975 0:00:00,37,"F",,"7f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212",,"John Hersey","Kalyn Dutton has been missing the day the tornador hit Morgan county.  We last heard from him/her was on the evening of the disaster.  Please, contact John Hersey at 256-555-1212 for any information.","256-555-1212"
4045,"201104ALabama","Alabama Tornado of April 2011","Missing","Dutton","Carley","2500 Spring Ave. Apt 151","Decatur","AL","35601",7/3/1972 0:00:00,40,"M",,"0m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212",,"John Hersey","Carley Dutton has been missing the day the tornador hit Morgan county.  We last heard from him/her was on the evening of the disaster.  Please, contact John Hersey at 256-555-1212 for any information.","256-555-1212"
4046,"201104ALabama","Alabama Tornado of April 2011","Registered","Tran","Kenneth","2500 Spring Ave. Apt.151","Decatur","AL","35601",6/16/1970 0:00:00,42,"M",,"2m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Kenneth Tran was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4047,"201104ALabama","Alabama Tornado of April 2011","Missing","Davis","Shad","926 Culver Rd","Falkville","AL","35622",6/21/1984 0:00:00,28,"M",,"8m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212",,"John Hersey","Shad Davis has been missing the day the tornador hit Morgan county.  We last heard from him/her was on the evening of the disaster.  Please, contact John Hersey at 256-555-1212 for any information.","256-555-1212"
4048,"201104ALabama","Alabama Tornado of April 2011","Registered","Reyes","ADDISON","151 Powell Chapel Rd","Falkville","AL","35622",6/30/1984 0:00:00,28,"M",,"8m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","ADDISON Reyes was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4049,"201104ALabama","Alabama Tornado of April 2011","Registered","Newton","CADENCE","3210 Modaus Road SW Lot 20","Decatur","AL","35603",12/28/1981 0:00:00,31,"M",,"1m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","CADENCE Newton was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4050,"201104ALabama","Alabama Tornado of April 2011","Registered","McDonald","Jennifer","906 Mason St.","Athens","AL","35611",6/19/1980 0:00:00,32,"M",,"2m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jennifer McDonald was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4051,"201104ALabama","Alabama Tornado of April 2011","Registered","Laney","Michael","815 Franklin Smith Rd","Moulton","AL","35650",11/2/1982 0:00:00,30,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Michael Laney came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4052,"201104ALabama","Alabama Tornado of April 2011","Registered","Jones","Richard","815 Franklin Smith Rd","Moulton","AL","35650",3/31/1984 0:00:00,28,"M",,"8m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Richard Jones was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4053,"201104ALabama","Alabama Tornado of April 2011","Registered","McDougal","Haley","1702 Plantation Way","Athens","AL","35613",7/14/1984 0:00:00,28,"M",,"8m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Haley McDougal was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4054,"201104ALabama","Alabama Tornado of April 2011","Registered","Good","Alexis","4908 Luker Rd","Decatur","AL","35603",11/6/1979 0:00:00,33,"F",,"3f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Alexis Good came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4055,"201104ALabama","Alabama Tornado of April 2011","Registered","Fiske","Travis","2306 Clearview Place SW","Decatur","AL","35601",9/6/1981 0:00:00,31,"M",,"1m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Travis Fiske was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4056,"201104ALabama","Alabama Tornado of April 2011","Registered","Watts","Shelby","1614 Wadsworth St SE","Decatur","AL","35601",7/5/1984 0:00:00,28,"F",,"8f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Shelby Watts came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4057,"201104ALabama","Alabama Tornado of April 2011","Registered","Aquilera","Justin","4 Oxmoore Flint Rd.  Apt F-1","Decatur","AL","35603",5/24/1984 0:00:00,28,"M",,"8m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Justin Aquilera was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4058,"201104ALabama","Alabama Tornado of April 2011","Registered","Boyles","Seth","3333 Mud Tavern Rd","Decatur","AL","35603",7/7/1984 0:00:00,28,"M",,"8m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Seth Boyles was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4059,"201104ALabama","Alabama Tornado of April 2011","Registered","Estes","Austin","2308 Chesley Ave ","Decatur","AL","35603",5/20/1984 0:00:00,28,"F",,"8f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Austin Estes came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4060,"201104ALabama","Alabama Tornado of April 2011","Registered","Pelc","Paris","8882 Co Rd 203","Danville","AL","35619",7/10/1984 0:00:00,28,"M",,"8m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Paris Pelc was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4061,"201104ALabama","Alabama Tornado of April 2011","Registered","Boykin","Nicholas","1918 Harrison St SE","Decatur","AL","35601",6/5/1980 0:00:00,32,"M",,"2m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Nicholas Boykin was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4062,"201104ALabama","Alabama Tornado of April 2011","Registered","Boykin","Summer","1924 Cumberland Ave SW","Decatur","AL","35603",5/4/1982 0:00:00,30,"M",,"0m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Summer Boykin was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4063,"201104ALabama","Alabama Tornado of April 2011","Registered","Oakley","Alexandra","3616 Garner Rd","Hartselle","AL","35640",3/1/1977 0:00:00,35,"M",,"5m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Alexandra Oakley was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4064,"201104ALabama","Alabama Tornado of April 2011","Registered","Aguilera","Heriberto","1816 Enolam Blvd. SE","Decatur","AL","35601",9/9/1975 0:00:00,37,"F",,"7f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Heriberto Aguilera came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4065,"201104ALabama","Alabama Tornado of April 2011","Registered","Aguilera","Hermeinda","1242 Beltline Rd SW Bld 7 Apt 707","Decatur","AL","35601",6/20/1969 0:00:00,43,"F",,"3f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Hermeinda Aguilera came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4066,"201104ALabama","Alabama Tornado of April 2011","Registered","Perryman","Hannah","2225 Hwy 20 Lot 55","Decatur","AL","35603",8/3/1974 0:00:00,38,"F",,"8f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Hannah Perryman came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4067,"201104ALabama","Alabama Tornado of April 2011","Registered","Threadgill","Gabrielle","1507 Thomas Dr. Sw","Decatur","AL","35601",10/26/1978 0:00:00,34,"F",,"4f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Gabrielle Threadgill came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4068,"201104ALabama","Alabama Tornado of April 2011","Registered","McDaniel","Caleb","933 Spring Ct","Decatur","AL","35603",9/1/1982 0:00:00,30,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Caleb McDaniel came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4069,"201104ALabama","Alabama Tornado of April 2011","Registered","Terry","Westen ","1010 Dodd Drive SW","Decatur","AL","35601",12/28/1968 0:00:00,44,"M",,"4m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Westen  Terry was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4070,"201104ALabama","Alabama Tornado of April 2011","Registered","Rhodes","Joshua","1202 Thomas Dr.","Decatur","AL","35601",2/21/1971 0:00:00,41,"F",,"1f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Joshua Rhodes came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4071,"201104ALabama","Alabama Tornado of April 2011","Registered","HOOD","Breanna","205 Bluebird Ln Apt 2","Decatur","AL","35601",3/11/1980 0:00:00,32,"M",,"2m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Breanna HOOD was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4072,"201104ALabama","Alabama Tornado of April 2011","Missing","Decay","Peyton","177 Cave Spring Road Apt.11","Decatur","AL","35603",9/3/1982 0:00:00,30,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212",,"John Hersey","Peyton Decay has been missing the day the tornador hit Morgan county.  We last heard from him/her was on the evening of the disaster.  Please, contact John Hersey at 256-555-1212 for any information.","256-555-1212"
4073,"201104ALabama","Alabama Tornado of April 2011","Missing","Decay","Chandler","2099 New Center Rd #12 ","Somerville","AL","35670",9/2/1982 0:00:00,30,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212",,"John Hersey","Chandler Decay has been missing the day the tornador hit Morgan county.  We last heard from him/her was on the evening of the disaster.  Please, contact John Hersey at 256-555-1212 for any information.","256-555-1212"
4074,"201104ALabama","Alabama Tornado of April 2011","Registered","McDaniel","Savannah","2506 Spring Ave. SW #
A105","Decatur","AL","35601",3/26/1981 0:00:00,31,"M",,"1m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Savannah McDaniel was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4075,"201104ALabama","Alabama Tornado of April 2011","Registered","Patterson","Nancy","15393 Line Road","Athens","AL","35613",9/12/1982 0:00:00,30,"M",,"0m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Nancy Patterson was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4076,"201104ALabama","Alabama Tornado of April 2011","Registered","Valladares","Lakeithon","24240 Frank Gossett Road","Athens","AL","35613",9/11/1982 0:00:00,30,"M",,"0m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Lakeithon Valladares was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4077,"201104ALabama","Alabama Tornado of April 2011","Registered","Patterson","Lakeidron","1603 Florence Street","Athens","AL","35611",9/13/1982 0:00:00,30,"M",,"0m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Lakeidron Patterson was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4078,"201104ALabama","Alabama Tornado of April 2011","Registered","Holloway","Karlo","942 Spring Ct","Decatur","AL","35603",8/31/1982 0:00:00,30,"M",,"0m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Karlo Holloway was digging what was his residence 2 days after the disaster.  I took the photo shown in this page. He suffer from just minor scratches around his left arm. So far he has no means of contacting family members. He is currently staying at a temporary shelter at Austin High School",,,
4079,"201104ALabama","Alabama Tornado of April 2011","Registered","Ceballos","Samantha","28188 Schrimsher Road","Madison","AL","35756",9/11/1982 0:00:00,30,"F",,"0f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Samantha Ceballos came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4080,"201104ALabama","Alabama Tornado of April 2011","Registered","Arroyo","Elizabeth","340 Perry Ave.","Somerville","AL","35670",12/6/1980 0:00:00,32,"F",,"2f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Elizabeth Arroyo came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
4081,"201104ALabama","Alabama Tornado of April 2011","Missing","Dempsey","Philip","138 Co Rd 3032","Double Springs","AL","35553",3/22/1978 0:00:00,34,"M",,"4m","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212",,"John Hersey","Philip Dempsey has been missing the day the tornador hit Morgan county.  We last heard from him/her was on the evening of the disaster.  Please, contact John Hersey at 256-555-1212 for any information.","256-555-1212"
4083,"201104ALabama","Alabama Tornado of April 2011","Registered","Bahena","Jasmine","3539 Modaus Rd.","Decatur","AL","35603",5/5/1981 0:00:00,31,"F",,"1f","Red Cross - Alabama","AL32154","Jennifer Carter","256-555-1212","Jasmine Bahena came to our mobile station at the corner of Spring and Danville Road.  I took the photo shown in this page. She shows no sign of injuries.  Currently, she said she is staying with her aunt in Cullman, Al",,,
